score	review
1	Defective! All Amazon batteries I tried over the past year have been defectlve. Most too short. I have to constantly pull the spring, if the device has the spring, and roll the battery around to get it to work again. These are new batteries. Many of the batteries were thrown away because we thought they had been used up. It wasn't until recently that we realized it was all the Amazon batteries that were causing the problem. I was on the phone with Amazon for two hours yesterday trying to get these orders straighten that out. I still have no confirmation that I do not have to send the batteries back because many went into the trash.
1	I am now trying to use the batteries and basically they are not working. Perhaps they are old, but they are just plain not working. I put in a Duracell and my headphones work. I put any one of the 36 batteries in the headphones - and it is not working. It is not worth the effort to get my 10 back.
1	These batteries wore out much too quickly. I almost replaced the weather station after it went through 2 sets of batteries in about 1 month. Luckily, something else with the same kind of batteries burned out the same day and I realized that the batteries were bad, not the electronics. .
1	Batteries dead as of June 1. I did not use half of then. Good for 6 months.
1	We used in an August smart lock. We expected to get about 2-3 months of use based on the energizer batteries that came with the lock, but batteries died in 2 weeks.
1	DID NOT RECIEVE AA I only recieved Cbatteries!
1	Ive gone thru half the box. Everyone of these batteries lasted for about 10 minutes and then died. Not happy at all! Wasted money on something i needed.
1	I have no idea why these batteries are reviewed so well. I used them in a small LED keyboard light for my computer, and I had to change them weekly. Sure you get more batteries for less money, but in total I think you'd be better off buying a quality brand.
1	They didn't last long, do not waste your money!! Die quickly, most of them didn't even work out of the package!!
1	Hi ordered these thinking they were a great price, but sadly they die very quickly.
1	these suck! They run out in literally just a few days. I have used several sets of these for my AC thermostat which is battery powered and the thermostat died every few days when using amazon brand batteries. using Duracell or energizer - they last for at least a few mos. I will never buy amazon batteries again. You get what you pay for.
1	these batteries died very quickly when compared to energizer or Duracell. Spend a little more and get a lot more battery life.
1	run out super quick! would not buy again
1	Cheap price but they sure don't last very long. I won't buy the Amazn brand again.
1	Does not turn well at all. Will be returning it
1	these batteries are terrible very disappointed. i have purchased before great long lasting very powerful. i must have received a bad batch they don't last very long. i may not purchase again.
1	Worked for one day, then stopped working. Can't tell if it deterred any cats because it only went off when I walked by, but didn't register the cats when they jumped on the counter.Would not recommend.
1	The price was right but they just don't last as long as the other name brand batteries so it's not worth it.
1	Sadly these batteries are horrible! I hardly ever have complaints about anything I order but these batteries barely have any power and I've had to change them out many times.
1	These batteries literally only last 15 minutes inside of each device I put them in. When I researched the product, they told me the only way was to spend 50 on the recharger for these batteries. I personally do not buy batteries to have to spend more than what I spent on them in whole to have to buy a whole other product to recharge them. Worst amazon product I ever wasted my money on
1	These batteries were a huge disappointment. I used two in my amazon tv remote and they lasted only 2 weeks. Usually, I only need to change batteries in that remote every 3-4 months or so. Total ripoff.
1	I am disappointed with this purchase. I purchased these for my Dad, delivered to him in October, 2015. I am visiting, and just opened the brand new package, and inserted 4 of them to run his blood pressure cuff. The machine worked, but the battery indicator showed low, I switched the batteries with other brand new amazon batteries - same reading. Then I switched with another set of name brand batteries, and the battery indicator showed high/full. If I was home, I would have used my battery meter. No 10 year shelf life - not even a 10 month shelf life. Amazon, I am usually one of your biggest fans, but not this time.
1	These batteries are not lasting at all.... very short life on them... super disappointed...
1	Spend a few more dollars and get a branded one. These discharge very fast. Had to keep changing my wall clock battery every 2 months when I had these. Got an energizer battery and that stayed for more than a year. Didn't expect amazon product to be of such poor quality.
1	DO NOT BUY. All batteries arrived completely dead. I thought it might be a bad batch. Ordered more, all arrived dead.
1	I only have it one star because I couldn't give zero stars. Over half of the box were dead. The ones that did work, only worked for a very short time. Do not buy these batteries.
1	They didn't work. Took one from each pack and - nothing!
1	Went to pit them on for the first time and the strap behind the buckle broke. Never even got to wear them. Poor construction, cheaply made product.
1	You get what you pay for.Lucky to get 2 weeks of minimum use.
1	They went Dead before even using them.. The ones i used lasted maybe 4hours at best !!!
1	Might as well be dead on arrival. Already burned through two sets of 4 of these since I ordered them less than two months ago on a Schlage keypad deadbolt lock. The previous batteries lasted over a year. I'll never order another Amazon basics battery.
1	Purchased these 3 months ago in addition to a higher end () brand that came with a 9 docket charger. The higher end rechargeables are still going strong. These leaked battery acid all over my charger and ruined one docket, and ruined an under cabinet puck light. Save your money! They won't last!
1	Bought these batteries thinking they were a good price. I have two deodorizer devices that spray a tiny amount every :20 minutes. I put these batteries in one and a brand name in the other. The name brand batteries have not been changed yet ant these batteries have gone through 4 pairs. Name brand are cheaper in the long run
1	I don't understand why these are rated so highly - these batteries DO NOT LAST. I have never experienced batteries that died so quickly....I used them from everything to my computer mouse to microphone and they lasted maybe about 1/4 the time of what I'm used to. I guess you get what you pay for - would never order these again
1	They do not last long at all. I have to keep changing them out on the products I put them in. Will not be buying them again.
1	I ordered a ton of these for holiday candle lights. They are in for 6 hours each night and turn off on a timer. We are 15 days in and every single candle (34 of them) is so dim you can barely see them.Expected to get far more life out of these. Do not recommend.
1	They do not work. I had to buy Duracell
1	These batteries started leaking right out of the box.I threw them in the trash and went back to Duracell.
1	DOA. Had to replace with other batteries. What a disappointment. Threw them away. :(
1	I got a bad batch. 4 of them arrived dead. I would have sent them back but I missed my window.
1	Literally the worst battery I've ever had. I've used them in different types of products and they are DEAD WITHIN A WEEK every time. Go to the dollar tree and save yourself some money and a headache
1	After one use in a regular used battery powered item it's dead. With other brand I can use the item several times before I have to replace the battery.
1	These die SO fast.
1	Put these batteries in led string lights on two wreaths, place kirkland batteries in another set of the same lights....guess what Amazon batteries loose their power quickly. Kirkland batteries are still flashing strong,,,,,,Amazon batteries barely blink. Sorry Amazon, love you but not these for me.
1	These go dead very quickly. Not worth it if you rely on whatever the batteries are powering. Maybe ok for a remote control or something unimportant.
1	Didn't have hardly any charge to them. A total waste of money.
1	These batteries don't even work in a Amazon Firestick!
1	Don't Buy! I thought it was a great deal initially, but these batteries are drained SUPER QUICKLY. I have one in my wireless Logitech mouse and I have had to replace the battery 4 times since November, that is 5 batteries in 2 months that is ridiculous! I have started buying the Duracell ProCell Batteries, I am having much better results.
1	Worst batteries for photographers. I'm sure they might be fine for using around the house, but for what I purchased them for (using with my external flash) these are the worst batteries I've ever used.Won't purchase them again.The black ones that are supposed to be better are also horrible for photographers.Household use only.
1	Never put a review online about a purchase , but this Amazon battery leak so badly I have to discard all of them after 2 weeks of use, DON'T BUY THIS ITEM ....
1	These are, by, far, the worst batteries my family has ever purchased. They have all lasted less than one week and I've only used them in things that see usage a few times per week. None of them have seen more than 10 min total usage before needing replaced and q about a third of them have leaked or corroded worthiness a few days. I've had much better luck with dollar store brands.
1	You get what you pay for here. These are cheap batteries and don't last very long, I'd spend the extra and get rechargeables.
1	I put two of these in my small flashlight and they only lasted about 15 minutes. Waste of money.
1	I purchased them thinking they would be a great value, based on other reviews. I have an alarm keypad (among other things) that I use them in. Previously batteries would last about a year in the keypad. These batteries will last about a month before they die. The first time it happened, I thought there could have been a bad battery or possibly my memory was failing me. After 3 sets in 3 months, there is no doubt. The batteries test fully charged when I install them and then a month later they are gone. That is not a great value at all. I will find another battery for future use.
1	Terrible. Don't hold their charge, I change the batteries in my remote once a week. Will not be buying again.
1	These are terrible. Don't last Put then in various items and their life is only 1/2 half of a Duracell
1	These have failed after a few weeks each time I've used them in my wireless keyboard. Duracells, on the other hand, have lasted for months.
1	This is my 2nd time ordering them and even though they arrive very fast and nicely packaged, these batteries only last about an hour and a half on my son's toy train.
1	I don't know why but these things don't last long. Maybe I don't know anything about batteries and there is certain number I should be looking for to determine the life span. I ended up going through these quickly so I could probably just buy the expensive ones and get the same life rather than keeping on purchasing these.
1	Batteries do not last at all. Worth just getting energizer batteries instead.
1	These batteries don't last half as long as the RayoVacs I usually get.
1	These batteries don't last. They might be a good value but for me it's more important to have a battery that lasts longer. Or use these for hiking and rockclimbing and working on my car in the middle the night if I have a flat tire. If you use them like that you want a much better battery like the name brands Duracell, energizer etc. If you just want something that's cheap these batteries are definitely cheap but I bought the 60 count Duracell batteries for .36 each. I think the Amazon ones go for just a bit over .20 each. I think the Duracell's last more than a third longer.
1	They lasted less than 24 hours in my mouse and that includes turning the mouse off overnight! What a ripoff.
1	I bought these batteries to charge my insulin pump - a life critical device. After I started using them, I found my pump worked terribly and after testing all other variables, popped out the Amazon battery and replaced with a Duracell, and everything was back to normal. I won't use these again.
1	I am very disappointed in these. I put them in my remote and within 24 hrs they are completely dead. For shame, Amazon. For shame.
1	These are horrible! Don't waste your money. These batteries die faster than any I've ever tried. A few hours in a Wii remote and they have to be replaced. I'm so disappointed!
1	I like shopping with Amazon and have purchased several Amazon brand products. However, I would not recommend anyone buy these batteries. I opened up the box and took a pack of four batteries out of the case and one was leaking. I threw those away. I need batteries for one of my sons toys so opened up another pack and put the batteries in and you guessed it, there was no charge in the batteries at all. About half of the batteries in the box were dead on arrival. The other ones had a charge but did not last long. Save your self the headache and buy energizers or something else. You will pay more but they work. I tried to return this pack but I was out of the 30 day window to return so I'm out the money.
1	Worst battery I have ever came across. Don't use for children's toys leaks battery acid. Had in my daughters mobile and the batteries only lasted 4 days when any other battery lasts a month and when I replaced them this morning I found they leaked battery acid all over.
1	Bought a, c d 9v batteries in April the AAA seemed fine but went to replace them 4 backs dead. I tried 5th pack and they worked. I will no longer be buying batteries from Amazon you can not count on them. I had d didn't work I hope 9v work. Some of these where for fire alarms not long lasting or don't workUsed c batteries they lasted 12 0f a CD Amazon batteries are horrible
1	These batteries don't last!!!!
1	All but about 4 were duds. What a waste of money.
1	Bought these in late Nov. By March 1, most of them were dead in the package.
1	I was searching for rechargeable batteries and these came up. I did think it was a great price for rechargeable batteries so I bought two packs. Didn't realize they were regular batteries until they arrived. I was a little annoyed. I blame Amazon for showing me these when I was looking for something else.
1	It Didn't work right.
1	mu AA Amazon batteries made in Indonesia were without power after 12 months, bought in May 2016
1	When you buy bulk batteries normally you open a box and have a bunch of batteries. With amazons frustration free packaging you open a cardboard box and find pain, hardship and loathing. I sprained a wrist trying to get the batteries out of the individual 4 pack space age metal plastic wrapping. It's terrible. It's also the first amazon product I didn't like. The first terribly packaged amazon product I've ever seen.
1	Did not work.
1	Shame on Amazon for putting their trusted name on this garbage! Nothing I put these batteries work properly whether AA, AAA, C or D, not the blood pressure cup won't fill with air before going into Error, motion lights that flicker when these are put in, remotes that work on and off - which all goes away with name brand batteries!
1	When I purchased the Fire Stick, these batteries were included. In less than three weeks they were dead and had to be replaced. The batteries for the Fire Stick are used only in the remote, so it is not as though they got much use! I would never recommend such a garbage product.
1	Bought a 20 pack to give them a try and found they dont hold up well in the tv remotes.... gone back to duracells
1	By far the worst batteries I have ever bought I regret my purchase of 2 packs! Half of each box came without power and the ones that did were half life! If u found this helpful please rate helpful thanks!
1	some are not functioning
1	I got these batteries on Amazon Prime Day and I thought I got a good deal but half of them don't work!!! Very disappointed.
1	Half the batteries had no charge.
1	I'm not sure if these are the same Amazon Basics batteries I purchased last time, the label is different. More importantly these seem to discharge faster or hold less power. I buy the 48 count box usually and its obvious to me already this box will last maybe half the time the last box did.
1	absolute garbage, noteven a 1/4 of the battery of a regular energizer, dies so quick, tested, compared for months, sorry Not worth the money atany price, except maybe free.
1	Very unhappy with these batteries. Used them for my flame-less candles, 3 batteries in each. I use a remote to turn the candles on, so they were only on a few hours at a time AND only a few nights a week. Died in less than 3 WEEKS!
1	I suppose the most honest thing about them is in their name...BASIC!! I use them in my blood pressure monitor. I take my BP twice a day and it only takes about 10 seconds. The batteries only last about 6 weeks. I've also used them in my air conditioner remote which I might use once or twice a day, just to turn it on or off. Again, after about 5 - 6 weeks, they stop working. They are also used in my Alexa/Echo remote which is used more often, yet, they last about 3 months in it. This is the first Amazon labeled/made product that I have bought that was not rated a 5. Don't buy these if you are looking for a long lasting battery.
1	Horrible, do not buy.I bought these in AA and AAA and they all lasted just a few days. My battery tester shows them on the lower side of good when unused but doesn't take long before they stop working.
1	Horrible! Did not last 1 hour, in my devices. DO NOT BUY!!
1	Batteries were horrible. As soon as I would put a pair in my Amazon Fire stick remote, I'd get a message that batteries were low. After a day or 2 I couldn't even wake the Fire stick up because the batteries were dead. Went through the hole pack in 2 weeks.
1	I am very disappointed in these batteries. They do not work, or if they do work it is only for a few minutes. They are a waste of money.
1	Not a long life at all. I bought AA batteries in the same order and they work fine.
1	I bought the 20 pack in September 2015. Half of the batteries in the package do not work. Do not purchase.
1	I bought these batteries for my Fitbit scale and installed them as soon as they arrived. Typically I have to change the batteries every 6-8 months but I have already had to replace these. I won't be buying them again.
1	Out of every package so far only 2 batteries are working. I bought these in April so they should still all be good and I'm finding I need to throw most of them away. I wish I could still return them.
1	I DO NOT recommend purchasing these batteries they barely last 24 hrs in what lasts 2 weeks with Costco or Duracell or Energizer brands.
1	I don't know who made these batteries but they are worthless. They do not hold a charge.I WILL NOT BUY AGAIN.
1	I had hoped that Amazon batteries would be as good as their other services. Unfortunately, either we got a bad batch or these batteries are not as good as other brands. These were ordered in April and it is now August and I have had to use three sets of batteries in my mouse. Normally a set of batteries lasts three or four months. I would not recommend. Others reviews are more positive, but I personally cannot recommend this brand.
1	I had to buy a brand new bed after purchasing this item. It kept ripping up and the bugs kept coming from the tears in the case. I do not recommend this for no one.
1	These battery only last a few months in my dish network remote controls (have 10 of them). Duracells last over a yearI will no longer purchase Amazon batteries. Disappointed
1	I have bought these twice-my first purchase, I received the batteries in the silver packaging, had no issues, long battery life, etc. The second order I received the batteries in the gray packaging as pictured. I bought the second back in April, and last week I discovered that every unused battery that I hadn't used up and thrown out was leaking. I threw out 5 batteries one day, and found 3 more that were in use in remotes that needed to be thrown out as well because they had leaked, and had to throw out a remote as well since it had corroded inside.I'm not going to be buying again. I could forgive one leaking battery, but almost half the package I'll either buy another brand for a bit more money and quality, or go to a local dollar store for the same quality and less money
1	I have never been so disappointed with a product. The battery life is horrible. When used in my camera, I can get maybe five standard-non zoom pictures before the camera shuts down and states the batteries need replaced. When used in tv remotes, the battery life is maybe a week. It is the same with the Amazon AAA batteries too. I will not be repurchasing again.
1	I have never had problems with the Amazon brand batteries before until this time around. I use these for battery operated candles and normally 3 AAA batteries will last in my candle a couple of weeks on a timer. I replaced the batteries 2 days ago with these batteries in 3 separate candles and all three candles do not work less than 24 hours later. Not sure if this batch was defective or not, but I won't risk spending the money and buying them again to not have them work.
1	Sorry Amazon, I love you, but these batteries are terrible. They don't last long at all. Reordered before I realized that they peter out in short order. They have failed in every application requiring batteries. Unfortunately, their made in Indonesia. Wasn't putting them in the China slot immediately but have no choice to do so. Applications referred to are, tooth brush, remote controls, motion lights, etc. Purchased, AAA AA with no difference in performance. I enjoyed the idea of being stocked up on quantity, but the quantity doesn't replace quality. Won't be ordering these batteries again. But will be shopping for a superior product.J.MAC
1	I had high hopes for these and very surprised at alt he high rating. I must have received a bad batch. This is a large qty and 6-8 months after purchase, using these batteries and they are no good. I figured they just wore out since i did not use them. Very disappointed and a good 20+ are trash. Real bummer.
1	I need to cancel this auto shipment
1	I needed batteries for my kittens toys. The first three I used lasted only 5 hours!! I am so unhappy, I spent 8 which is a lot of money for me.
1	They do not last at all! I never leave negative reviews as I am generally satisfied. But logged back in just to do it! They are awful!!!
1	I purchased the AA batteries for my Nest smoke detectors. The batteries that came with the Nest lasted for a couple of years, so I expected similar performance from the Amazon AA's. In less than 2 months after my purchase, the Nest indicated that they had to be replaced again. This product is not to Amazon's expected standards. I will give it a miss.
1	I purchased these batteries for my boyfriend . The split open and ruined who uses them in a 200.00 portable modem. I would of sent them back, but this happened after the 30 day return window.
1	I purchased these for my daughter for camp and open a pack today and they did not work. Fresh out of the plastic wrap and everything:(.
1	This is the first Amazon product I've purchased. I thought that batteries would be a good first try since there really can't be much difference between alkaline batteries.I am a working musician teacher. I sing with a band and use a Shure Wireless Beta 58 mic. A normal set of alkaline batteries last about 7-8 hours in my mic. The first gig I used these with was about 3 1/2 hours with the mic on and by the end of the gig the light on the mic showing battery was showing that the battery was about to die. I was just lucky that it lasted long enough for the entire gig. Usually I can get two full gigs out of an alkaline battery. Just as a comparison, I usually buy the cheapest boxes of batteries at Lowe's. Those batteries are only slightly more expensive than the Amazon Basics and last twice as long in my mic.I can't say how these batteries work in other things, but I can say that for what I use them for they are a big waste of money. I would rather use batteries that cost 15-20 more and last twice as long.
